iter	Passed	Remaining
0	151	151746
1	162	80951
2	170	56688
3	178	44405
4	187	37368
5	195	32462
6	204	28939
7	212	26354
8	220	24273
9	228	22635
10	236	21267
11	243	20082
12	252	19159
13	260	18373
14	268	17658
15	276	17001
16	284	16445
17	292	15969
18	301	15567
19	309	15155
20	316	14773
21	325	14454
22	332	14130
23	341	13890
24	350	13673
25	359	13452
26	366	13221
27	374	13015
28	382	12811
29	389	12608
30	398	12453
31	406	12297
32	415	12165
33	424	12072
34	432	11930
35	440	11786
36	448	11662
37	455	11524
38	466	11482
39	473	11360
40	481	11266
41	489	11162
42	497	11068
43	504	10968
44	513	10894
45	520	10798
46	529	10730
47	536	10648
48	545	10579
49	552	10499
50	560	10437
51	568	10368
52	577	10317
53	584	10241
54	594	10208
55	601	10139
56	609	10081
57	617	10034
58	625	9980
59	634	9933
60	642	9883
61	649	9832
62	658	9788
63	665	9729
64	673	9691
65	681	9641
66	689	9594
67	696	9546
68	705	9517
69	713	9481
70	722	9449
71	730	9417
72	738	9375
73	746	9343
74	754	9309
75	762	9271
76	770	9239
77	779	9208
78	787	9178
79	795	9152
80	804	9122
81	811	9086
82	821	9071
83	829	9047
84	837	9016
85	845	8987
86	854	8964
87	862	8939
88	870	8909
89	879	8891
90	887	8867
91	895	8841
92	904	8821
93	912	8799
94	921	8775
95	930	8762
96	938	8737
97	947	8720
98	956	8703
99	964	8679
100	972	8656
101	981	8638
102	989	8618
103	998	8599
104	1006	8582
105	1015	8561
106	1024	8548
107	1032	8525
108	1040	8505
109	1048	8486
110	1057	8471
111	1065	8451
112	1074	8431
113	1082	8409
114	1090	8394
115	1098	8368
116	1106	8350
117	1114	8326
118	1122	8306
119	1129	8283
120	1138	8271
121	1147	8255
122	1154	8234
123	1163	8216
124	1172	8204
125	1180	8186
126	1189	8176
127	1197	8159
128	1207	8151
129	1215	8133
130	1223	8117
131	1233	8108
132	1242	8096
133	1250	8084
134	1260	8075
135	1268	8057
136	1277	8047
137	1287	8040
138	1295	8022
139	1304	8011
140	1312	7997
141	1322	7992
142	1332	7988
143	1342	7979
144	1352	7973
145	1361	7961
146	1370	7954
147	1378	7938
148	1387	7924
149	1396	7912
150	1405	7902
151	1413	7885
152	1421	7872
153	1429	7853
154	1437	7836
155	1445	7822
156	1455	7814
157	1462	7795
158	1470	7779
159	1478	7763
160	1486	7748
161	1496	7740
162	1504	7726
163	1514	7718
164	1522	7703
165	1531	7693
166	1539	7677
167	1548	7668
168	1556	7655
169	1566	7649
170	1576	7641
171	1585	7631
172	1593	7619
173	1601	7604
174	1611	7596
175	1621	7592
176	1631	7584
177	1640	7575
178	1650	7568
179	1659	7561
180	1670	7558
181	1680	7550
182	1690	7547
183	1699	7538
184	1709	7529
185	1717	7516
186	1727	7511
187	1735	7496
188	1743	7481
189	1752	7469
190	1761	7461
191	1769	7447
192	1778	7436
193	1786	7422
194	1794	7407
195	1802	7392
196	1810	7381
197	1818	7367
198	1827	7354
199	1835	7341
200	1844	7330
201	1852	7318
202	1861	7306
203	1868	7290
204	1876	7277
205	1884	7263
206	1891	7247
207	1900	7236
208	1908	7221
209	1915	7206
210	1924	7195
211	1932	7183
212	1940	7170
213	1948	7156
214	1956	7141
215	1963	7127
216	1971	7115
217	1979	7101
218	1987	7089
219	1995	7075
220	2004	7065
221	2012	7053
222	2020	7041
223	2029	7031
224	2038	7021
225	2046	7008
226	2054	6995
227	2062	6984
228	2070	6971
229	2078	6959
230	2086	6945
231	2094	6932
232	2101	6918
233	2109	6904
234	2117	6892
235	2125	6881
236	2134	6872
237	2142	6859
238	2150	6847
239	2158	6835
240	2166	6822
241	2173	6809
242	2181	6795
243	2189	6782
244	2197	6771
245	2205	6759
246	2213	6747
247	2222	6738
248	2230	6726
249	2239	6718
250	2246	6704
251	2254	6691
252	2261	6678
253	2269	6666
254	2278	6655
255	2286	6644
256	2294	6633
257	2302	6622
258	2311	6612
259	2319	6601
260	2327	6590
261	2335	6579
262	2343	6568
263	2351	6556
264	2359	6545
265	2367	6532
266	2375	6520
267	2383	6509
268	2391	6497
269	2399	6487
270	2408	6477
271	2415	6464
272	2423	6453
273	2431	6442
274	2438	6428
275	2446	6417
276	2454	6405
277	2462	6394
278	2470	6385
279	2479	6374
280	2486	6363
281	2495	6352
282	2504	6346
283	2512	6335
284	2521	6324
285	2528	6313
286	2537	6304
287	2546	6294
288	2553	6282
289	2562	6272
290	2570	6261
291	2577	6250
292	2586	6240
293	2593	6227
294	2600	6215
295	2609	6206
296	2617	6196
297	2626	6186
298	2634	6177
299	2643	6167
300	2652	6159
301	2660	6149
302	2668	6138
303	2676	6127
304	2684	6117
305	2692	6106
306	2700	6096
307	2708	6086
308	2717	6076
309	2725	6066
310	2734	6057
311	2743	6050
312	2751	6039
313	2760	6030
314	2768	6019
315	2776	6009
316	2785	6002
317	2794	5992
318	2802	5981
319	2810	5972
320	2819	5963
321	2826	5952
322	2835	5942
323	2844	5934
324	2851	5922
325	2859	5911
326	2867	5902
327	2875	5892
328	2884	5882
329	2894	5877
330	2903	5868
331	2912	5860
332	2920	5850
333	2929	5841
334	2937	5832
335	2946	5822
336	2954	5812
337	2962	5803
338	2971	5793
339	2979	5783
340	2988	5774
341	2996	5764
342	3004	5755
343	3012	5745
344	3020	5734
345	3028	5724
346	3036	5715
347	3045	5705
348	3053	5695
349	3061	5685
350	3069	5674
351	3077	5665
352	3085	5656
353	3094	5646
354	3102	5636
355	3110	5627
356	3118	5617
357	3126	5606
358	3134	5597
359	3143	5588
360	3150	5577
361	3159	5567
362	3167	5557
363	3174	5546
364	3182	5536
365	3190	5527
366	3200	5520
367	3208	5510
368	3217	5502
369	3226	5493
370	3236	5487
371	3245	5479
372	3255	5471
373	3265	5465
374	3273	5456
375	3283	5449
376	3295	5445
377	3305	5439
378	3318	5438
379	3328	5430
380	3337	5421
381	3345	5412
382	3354	5403
383	3363	5395
384	3372	5386
385	3381	5379
386	3391	5371
387	3401	5365
388	3411	5358
389	3422	5352
390	3432	5345
391	3443	5341
392	3454	5336
393	3465	5329
394	3474	5321
395	3483	5312
396	3491	5303
397	3500	5294
398	3510	5287
399	3519	5278
400	3528	5271
401	3547	5277
402	3557	5269
403	3567	5263
404	3577	5256
405	3587	5248
406	3597	5241
407	3607	5235
408	3617	5227
409	3629	5222
410	3640	5216
411	3651	5211
412	3663	5206
413	3674	5201
414	3687	5197
415	3698	5192
416	3709	5186
417	3721	5181
418	3734	5178
419	3746	5173
420	3757	5168
421	3769	5163
422	3781	5157
423	3792	5152
424	3804	5146
425	3813	5138
426	3824	5132
427	3836	5126
428	3847	5121
429	3861	5118
430	3872	5112
431	3884	5107
432	3896	5101
433	3908	5096
434	3920	5091
435	3932	5086
436	3943	5079
437	3955	5074
438	3967	5070
439	3980	5065
440	3991	5059
441	4003	5053
442	4014	5047
443	4026	5042
444	4041	5039
445	4052	5034
446	4064	5028
447	4075	5021
448	4088	5017
449	4102	5013
450	4114	5008
451	4125	5002
452	4135	4994
453	4146	4986
454	4157	4979
455	4168	4972
456	4178	4965
457	4189	4957
458	4200	4950
459	4211	4943
460	4222	4936
461	4233	4930
462	4245	4923
463	4257	4917
464	4269	4912
465	4281	4906
466	4294	4900
467	4306	4895
468	4318	4889
469	4328	4881
470	4339	4874
471	4352	4868
472	4364	4863
473	4376	4856
474	4388	4850
475	4400	4844
476	4413	4838
477	4425	4833
478	4437	4827
479	4450	4821
480	4462	4815
481	4474	4808
482	4487	4803
483	4499	4797
484	4511	4790
485	4525	4785
486	4537	4780
487	4559	4784
488	4571	4777
489	4582	4769
490	4594	4762
491	4606	4756
492	4618	4749
493	4630	4743
494	4645	4739
495	4657	4732
496	4669	4726
497	4682	4719
498	4694	4713
499	4706	4706
500	4719	4700
501	4730	4693
502	4743	4687
503	4756	4680
504	4767	4673
505	4780	4667
506	4792	4660
507	4804	4652
508	4816	4645
509	4827	4638
510	4838	4630
511	4851	4623
512	4863	4616
513	4875	4610
514	4888	4603
515	4899	4596
516	4911	4588
517	4923	4581
518	4935	4574
519	4946	4566
520	4960	4560
521	4972	4553
522	4982	4544
523	4994	4537
524	5007	4530
525	5018	4522
526	5031	4516
527	5043	4508
528	5057	4503
529	5070	4496
530	5081	4488
531	5093	4480
532	5105	4473
533	5117	4466
534	5129	4458
535	5142	4451
536	5153	4443
537	5164	4435
538	5176	4427
539	5189	4420
540	5200	4412
541	5212	4404
542	5234	4405
543	5245	4396
544	5257	4389
545	5270	4382
546	5281	4373
547	5293	4366
548	5304	4357
549	5316	4349
550	5327	4341
551	5338	4332
552	5350	4324
553	5361	4316
554	5373	4308
555	5386	4301
556	5397	4292
557	5408	4284
558	5419	4275
559	5431	4267
560	5443	4259
561	5455	4251
562	5467	4243
563	5478	4235
564	5490	4226
565	5501	4218
566	5513	4210
567	5524	4201
568	5536	4194
569	5548	4185
